
2021-01-19T21:08:51.069501,10,thermometer,persisted
2021-01-19T21:08:51.269343,11,oximeter,processed
2021-01-19T21:08:51.269343,11,oximeter,processed
2021-01-19T21:08:51.269605,11,oximeter,detected
2021-01-19T21:08:51.269986,11,oximeter,persisted
2021-01-19T21:08:51.469444,11,ecg,processed
2021-01-19T21:08:51.469444,11,ecg,processed
2021-01-19T21:08:51.469677,11,ecg,detected
2021-01-19T21:08:51.470050,11,ecg,persisted
2021-01-19T21:08:51.669774,11,ecg,persisted
2021-01-19T21:08:51.869541,11,thermometer,processed
2021-01-19T21:08:51.869541,11,thermometer,processed
2021-01-19T21:08:51.869743,11,thermometer,detected
2021-01-19T21:08:51.870052,11,thermometer,persisted
2021-01-19T21:08:52.069883,11,thermometer,persisted
2021-01-19T21:08:52.269709,12,oximeter,processed
2021-01-19T21:08:52.269709,12,oximeter,processed
2021-01-19T21:08:52.269927,12,oximeter,detected
2021-01-19T21:08:52.270444,12,oximeter,persisted
2021-01-19T21:08:52.469840,12,ecg,processed
2021-01-19T21:08:52.469840,12,ecg,processed
2021-01-19T21:08:52.470074,12,ecg,detected
2021-01-19T21:08:52.470511,12,ecg,persisted
2021-01-19T21:08:52.670257,12,ecg,persisted
2021-01-19T21:08:52.869921,12,thermometer,processed
2021-01-19T21:08:52.869921,12,thermometer,processed
2021-01-19T21:08:52.870152,12,thermometer,detected
2021-01-19T21:08:52.870606,12,thermometer,persisted
2021-01-19T21:08:53.070250,12,thermometer,persisted
2021-01-19T21:08:53.270089,13,oximeter,processed
2021-01-19T21:08:53.270089,13,oximeter,processed
2021-01-19T21:08:53.270317,13,oximeter,detected
2021-01-19T21:08:53.270599,13,oximeter,persisted
2021-01-19T21:08:53.470156,13,ecg,processed
2021-01-19T21:08:53.470156,13,ecg,processed
2021-01-19T21:08:53.470380,13,ecg,detected
2021-01-19T21:08:53.470952,13,ecg,persisted
2021-01-19T21:08:53.670492,13,ecg,persisted
2021-01-19T21:08:53.870321,13,thermometer,processed
2021-01-19T21:08:53.870321,13,thermometer,processed
2021-01-19T21:08:53.870529,13,thermometer,detected
2021-01-19T21:08:53.870950,13,thermometer,persisted
2021-01-19T21:08:54.070800,13,thermometer,persisted
2021-01-19T21:08:54.270497,14,oximeter,processed
2021-01-19T21:08:54.270497,14,oximeter,processed
2021-01-19T21:08:54.270689,14,oximeter,detected
2021-01-19T21:08:54.271210,14,oximeter,persisted
2021-01-19T21:08:54.470582,14,ecg,processed
2021-01-19T21:08:54.470582,14,ecg,processed
2021-01-19T21:08:54.470816,14,ecg,detected
2021-01-19T21:08:54.471229,14,ecg,persisted
2021-01-19T21:08:54.670924,14,ecg,persisted
2021-01-19T21:08:54.870778,14,thermometer,processed
2021-01-19T21:08:54.870778,14,thermometer,processed
2021-01-19T21:08:54.870993,14,thermometer,detected
2021-01-19T21:08:54.871292,14,thermometer,persisted
2021-01-19T21:08:55.071106,14,thermometer,persisted
2021-01-19T21:08:55.271025,15,oximeter,processed
2021-01-19T21:08:55.271025,15,oximeter,processed
2021-01-19T21:08:55.271256,15,oximeter,detected
2021-01-19T21:08:55.271599,15,oximeter,persisted
2021-01-19T21:08:55.471125,15,ecg,processed
2021-01-19T21:08:55.471125,15,ecg,processed
2021-01-19T21:08:55.471351,15,ecg,detected
2021-01-19T21:08:55.471816,15,ecg,persisted
2021-01-19T21:08:55.671653,15,ecg,persisted
2021-01-19T21:08:55.871437,15,ecg,persisted
2021-01-19T21:08:56.071536,15,ecg,persisted
2021-01-19T21:08:56.271365,16,oximeter,processed
2021-01-19T21:08:56.271365,16,oximeter,processed
2021-01-19T21:08:56.271558,16,oximeter,detected
2021-01-19T21:08:56.271844,16,oximeter,persisted
2021-01-19T21:08:56.471692,16,oximeter,persisted
2021-01-19T21:08:56.671753,16,oximeter,persisted
2021-01-19T21:08:56.871986,16,oximeter,persisted
2021-01-19T21:08:57.072090,16,oximeter,persisted
2021-01-19T21:08:57.272067,16,oximeter,persisted
2021-01-19T21:08:57.472261,16,oximeter,persisted
2021-01-19T21:08:57.672204,16,oximeter,persisted
